"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"91","Georgia 2025-01-31_13-30",21,10,10,0,0,1,1,1,1,0,0,1,NA,NA,NA
"92","Georgia 2025-01-31_13-30",22,10,11,1,0,0,0,0,0,0,0,0,NA,NA,NA
"93","Georgia Tech 2025-02-28_13-51",1,0,0,1,1,1,14,0,0,0,0,0,"Carter Hawkins","Caelan McSweeney","Griffin Gee"
"94","Georgia Tech 2025-02-28_13-51",2,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"95","Georgia Tech 2025-02-28_13-51",3,1,1,1,1,2,9,1,1,0,1,0,"Luca Harwood","Carter Hawkins","Shiff Burt"
"96","Georgia Tech 2025-02-28_13-51",4,2,1,0,0,3,24,3,2,1,0,3,NA,NA,NA
"97","Georgia Tech 2025-02-28_13-51",5,2,2,1,1,3,10,2,2,0,0,2,"Caelan McSweeney","Luca Harwood","Ethan Lieman"
"98","Georgia Tech 2025-02-28_13-51",6,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"99","Georgia Tech 2025-02-28_13-51",7,3,3,1,1,2,16,1,0,1,1,0,"Luca Harwood","Caelan McSweeney","Ethan Lieman"
"100","Georgia Tech 2025-02-28_13-51",8,4,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"101","Georgia Tech 2025-02-28_13-51",9,4,4,1,1,1,12,0,0,0,0,0,"Carter Hawkins","Shiff Burt","Griffin Gee"
"102","Georgia Tech 2025-02-28_13-51",10,5,4,0,0,1,6,1,0,1,0,1,NA,NA,NA
"103","Georgia Tech 2025-02-28_13-51",11,5,5,1,0,6,27,6,5,1,2,3,NA,NA,NA
"104","Georgia Tech 2025-02-28_13-51",12,5,6,1,1,1,11,0,0,0,0,0,"Caelan McSweeney","Carter Hawkins","Ethan Lieman"
"105","Georgia Tech 2025-02-28_13-51",13,6,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
"106","Georgia Tech 2025-02-28_13-51",14,6,7,0,1,2,15,1,0,1,0,2,"Artie Aucoin","Calan Kirkpatrick","Toby Paperno"
"107","Georgia Tech 2025-02-28_13-51",15,7,7,0,1,4,34,3,1,2,1,3,"Chaz Norris","Mason Stone","Calan Kirkpatrick"
