"","game","point","possession","Thrower","Receiver","Turnover?","Thrower error?","Receiver error?","Throw to endzone?","Assist?","Secondary assist?","Huck?","Swing?","Dump?","From sideline?","To sideline?","Distance (m)","Forward distance (m)","Left-to-right distance (m)","pass.start.x","pass.start.y","pass.end.x","pass.end.y","possessionID","Started point on offense?","Scored?","possession.start.x","possession.start.y","Initiator","Passes","Secondary assist","Assist","Goal","Thrower error","Receiver error","Stalled out","line","passes"
"37","Carleton 2025-03-02_10-00",5,1,"Artie Aucoin","Toby Paperno",0,0,0,"0",0,0,0,0,0,0,0,10.670013,3.0468762,10.225739,0.5021097,0.7009943,0.22573839,0.67329544,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"38","Carleton 2025-03-02_10-00",5,1,"Toby Paperno","Artie Aucoin",0,0,0,"0",0,0,0,0,0,0,0,7.9826183,7.8124957,1.6392403,0.22573839,0.67329544,0.1814346,0.60227275,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"39","Carleton 2025-03-02_10-00",5,1,"Artie Aucoin",NA,1,1,0,"1",0,0,1,0,0,0,0,46.879158,46.875,0.62447256,0.1814346,0.60227275,0.16455697,0.17613636,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"40","Carleton 2025-03-02_10-00",5,2,"Shiff Burt","Ethan Lieman",0,0,0,"0",0,0,0,0,1,0,0,11.170619,-2.656249,10.850211,0.82067513,0.30610797,0.5274262,0.3302557,"Carleton 2025-03-02_10-00-5-2",0,"1",0.82067513,0.30610797,"Shiff Burt",4,"Artie Aucoin","Ethan Lieman","Nima Lhamo",NA,NA,NA,"dline","(0,5]"
"41","Carleton 2025-03-02_10-00",5,2,"Ethan Lieman","Artie Aucoin",0,0,0,"0",0,0,0,0,0,0,0,11.154324,7.8906264,7.8839674,0.5274262,0.3302557,0.314346,0.25852272,"Carleton 2025-03-02_10-00-5-2",0,"1",0.82067513,0.30610797,"Shiff Burt",4,"Artie Aucoin","Ethan Lieman","Nima Lhamo",NA,NA,NA,"dline","(0,5]"
"42","Carleton 2025-03-02_10-00",5,2,"Artie Aucoin","Ethan Lieman",0,0,0,"0",0,1,0,1,0,0,0,14.117632,2.4999993,-13.894514,0.314346,0.25852272,0.6898734,0.23579545,"Carleton 2025-03-02_10-00-5-2",0,"1",0.82067513,0.30610797,"Shiff Burt",4,"Artie Aucoin","Ethan Lieman","Nima Lhamo",NA,NA,NA,"dline","(0,5]"
"43","Carleton 2025-03-02_10-00",5,2,"Ethan Lieman","Nima Lhamo",0,0,0,"1",1,0,0,0,0,0,0,28.91389,21.40625,19.436707,0.6898734,0.23579545,0.16455697,0.041193184,"Carleton 2025-03-02_10-00-5-2",0,"1",0.82067513,0.30610797,"Shiff Burt",4,"Artie Aucoin","Ethan Lieman","Nima Lhamo",NA,NA,NA,"dline","(0,5]"
"44","Carleton 2025-03-02_10-00",6,1,"Griffin Gee","Nima Lhamo",0,0,0,"0",0,0,0,1,0,0,0,12.373761,5.000002,11.318566,0.5843882,0.4005682,0.278481,0.35511363,"Carleton 2025-03-02_10-00-6-1",0,"1",0.5843882,0.4005682,"Griffin Gee",5,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson",NA,NA,NA,"dline","(0,5]"
"45","Carleton 2025-03-02_10-00",6,1,"Nima Lhamo","Mason Stone",0,0,0,"0",0,0,0,1,0,0,0,18.081268,4.296875,-17.56329,0.278481,0.35511363,0.7531645,0.31605113,"Carleton 2025-03-02_10-00-6-1",0,"1",0.5843882,0.4005682,"Griffin Gee",5,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson",NA,NA,NA,"dline","(0,5]"
"46","Carleton 2025-03-02_10-00",6,1,"Mason Stone","Charlie Leightheiser",0,0,0,"0",0,0,0,1,0,0,0,11.626074,2.656249,11.318565,0.7531645,0.31605113,0.44725737,0.2919034,"Carleton 2025-03-02_10-00-6-1",0,"1",0.5843882,0.4005682,"Griffin Gee",5,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson",NA,NA,NA,"dline","(0,5]"
"47","Carleton 2025-03-02_10-00",6,1,"Charlie Leightheiser","Mason Stone",0,0,0,"0",0,1,0,0,0,0,0,9.757697,0.078124106,-9.757384,0.44725737,0.2919034,0.71097046,0.2911932,"Carleton 2025-03-02_10-00-6-1",0,"1",0.5843882,0.4005682,"Griffin Gee",5,"Charlie Leightheiser","Mason Stone","Gavin Abrahamson",NA,NA,NA,"dline","(0,5]"
